id,club_id,player_id
924,1032,334222
925,2441,334222
926,940,334222
927,209,334222
928,1286,334222
931,7055,105899
932,368,105899
933,333,105899
936,209,1057316
938,629,92693
939,4961,92693
941,189,92693
942,244,92693
943,1531,92693
944,3631,92693
945,13353,92693
946,4673,92693
947,10885,92693
948,2402,92693
951,150,167721
952,331,167721
953,1775,167721
954,5358,167721
955,9645,167721
957,46,55735
958,12,55735
959,11,55735
960,985,55735
961,16,55735
962,660,55735
963,2783,55735
964,10301,55735
968,16704,515744
969,41194,515744
970,46752,515744
972,30989,515744
974,762,3242
975,641,3242
976,399,3242
977,371,3242
978,419,3242
979,651,3242
982,60816,13556
983,1028,13556
